iso3,country,UNregion,r,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
BTN,Bhutan,Southern Asia,0.3333333333333333,3831.32535494609,127.7108451648697,791524.0,101086199.00827833,152,90,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ATG,Antigua and Barbuda,Caribbean,0.0,21494.5474000727,1074.727370003635,93772.0,100779334.93998086,153,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GNB,Guinea-Bissau,Western Africa,0.1111111111111111,988.087886357022,43.9150171714232,2201352.0,96672410.8803468,154,58,22.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BRB,Barbados,Caribbean,0.7777777777777777,25583.878782727,284.2653198080779,282467.0,80295572.09022833,155,161,4.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SUR,Suriname,South America,0.5555555555555556,5521.97602122638,122.71057824947512,634431.0,77851394.86939275,156,131,9.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LSO,Lesotho,Southern Africa,0.3333333333333333,916.282976983803,30.542765899460107,2337423.0,71391363.49701375,157,90,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GRD,Grenada,Caribbean,0.0,11414.4781691181,570.723908455905,117207.0,66892837.13839126,158,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
COM,Comoros,Eastern Africa,0.1111111111111111,1560.27378476855,69.34550154526889,866628.0,60096753.31317329,159,58,15.4,5.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GMB,Gambia,Western Africa,0.5555555555555556,883.024111719809,19.622758038217977,2759988.0,54158576.712385155,160,131,16.8,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
VCT,St. Vincent and the Grenadines,Caribbean,0.0,10582.3656725229,529.118283626145,100616.0,53237765.2253282,161,1,6.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KNA,St. Kitts and Nevis,Caribbean,0.0,22576.9248439166,1128.84624219583,46843.0,52878544.52317926,162,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
WSM,Samoa,Polynesia,0.0,4822.74084650019,241.1370423250095,218019.0,52572456.830656245,163,1,3.6,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SLB,Solomon Islands,Melanesia,0.3333333333333333,1882.64394148042,62.75479804934734,819198.0,51408605.052429244,164,90,20.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CPV,Cabo Verde,Western Africa,0.6666666666666666,4794.90121917259,79.91502031954317,524877.0,41945556.120260864,165,146,13.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SYC,Seychelles,Eastern Africa,0.6666666666666666,18262.7115849287,304.3785264154784,121354.0,36937551.69462397,166,146,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TLS,Timor-Leste,South-eastern Asia,0.6666666666666666,1502.41147438211,25.04019123970184,1400638.0,35072243.37759351,167,146,18.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
DMA,Dominica,Caribbean,0.0,9912.96212766668,495.64810638333404,66205.0,32814382.88310863,168,1,3.6,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TON,Tonga,Polynesia,0.0,5651.59373063157,282.5796865315785,104175.0,29437738.84442719,169,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
VUT,Vanuatu,Melanesia,0.5555555555555556,3482.61458237637,77.39143516391934,327777.0,25367132.443723988,170,131,7.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
FSM,"Micronesia, Fed. Sts.",Micronesia,0.0,3919.64307910859,195.9821539554295,113160.0,22177340.541596405,171,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
STP,Sao Tome and Principe,Middle Africa,0.4444444444444444,2990.6606143535,83.07390595426389,235536.0,19566895.5128435,172,121,17.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PLW,Palau,Micronesia,0.0,15610.8231931032,780.5411596551601,17695.0,13811675.820098057,173,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KIR,Kiribati,Micronesia,0.1111111111111111,2177.70125812262,96.78672258322756,134518.0,13019556.348450605,174,58,4.1,0.9,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MHL,Marshall Islands,Micronesia,0.0,6793.24495895856,339.66224794792805,37548.0,12753638.085948803,175,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NRU,Nauru,Polynesia,0.0,12752.4723855838,637.62361927919,11947.0,7617689.379528483,176,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TUV,Tuvalu,Polynesia,0.0,6344.7750188689,317.238750943445,9646.0,3060084.99160047,177,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LUX,Luxembourg,Western Europe,1.0,133230.619178899,0.0,677012.0,0.0,178,184,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
IRL,Ireland,Northern Europe,1.0,106818.917130804,0.0,5395790.0,0.0,178,184,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BEL,Belgium,Western Europe,1.0,55291.4754541329,0.0,11858610.0,0.0,178,184,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
DNK,Denmark,Northern Europe,1.0,68043.5466971243,0.0,5976992.0,0.0,178,184,2.5,0.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CHL,Chile,South America,1.0,17067.0364799154,0.0,19764771.0,0.0,178,184,2.5,0.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
EST,Estonia,Northern Europe,1.0,30264.0064885057,0.0,1372341.0,0.0,178,184,2.5,0.3,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
FIN,Finland,Northern Europe,1.0,52834.2916752703,0.0,5619911.0,0.0,178,184,2.5,0.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NOR,Norway,Northern Europe,1.0,87497.2179649556,0.0,5572279.0,0.0,178,184,2.5,0.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PRT,Portugal,Southern Europe,1.0,27634.6183139773,0.0,10694681.0,0.0,178,184,2.5,0.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SWE,Sweden,Northern Europe,1.0,54950.2834725622,0.0,10569709.0,0.0,178,184,2.5,0.8,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CUB,Cuba,Caribbean,0.0,,,10979783.0,,,1,,,False,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ERI,Eritrea,Eastern Africa,0.0,,,3535603.0,,,1,,,False,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PRK,North Korea,Eastern Asia,0.0,,,26498823.0,,,1,,,False,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SSD,South Sudan,Eastern Africa,0.0,,,11943408.0,,,1,22.3,,False,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SYR,Syria,Western Asia,0.0,,,24672760.0,,,1,39.0,,False,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
YEM,Yemen,Western Asia,0.0,,,40583164.0,,,1,,,False,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
