iso3,country,UNregion,r,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
AUT,Austria,Western Europe,0.8888888888888888,56579.504175468,314.33057875260016,9177982.0,2884920393.8409467,61,172,2.5,0.5,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LKA,Sri Lanka,Southern Asia,0.3333333333333333,3798.89016573011,126.62967219100369,21916000.0,2775215895.738037,62,90,7.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CIV,Côte d'Ivoire,Western Africa,0.3333333333333333,2591.9659048119,86.39886349373002,31934230.0,2759081178.547378,63,90,11.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
UGA,Uganda,Eastern Africa,0.0,1002.30913917142,50.115456958571,50015092.0,2506529190.4049687,64,1,22.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BOL,Bolivia,South America,0.1111111111111111,4274.70820547613,189.9870313544947,12413315.0,2358368866.1182194,65,58,21.8,2.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TKM,Turkmenistan,Central Asia,0.0,6231.91323839698,311.595661919849,7494498.0,2335253065.0669847,66,1,4.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BHR,Bahrain,Western Asia,0.0,29290.1284215098,1464.50642107549,1588670.0,2326617415.9699984,67,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BGR,Bulgaria,Eastern Europe,0.5555555555555556,15853.208636704,352.29352526008887,6441421.0,2269270911.774367,68,131,2.5,1.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CMR,Cameroon,Middle Africa,0.1111111111111111,1720.47510154506,76.46556006866933,29123744.0,2226963396.256548,69,58,4.8,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SVK,Slovakia,Eastern Europe,0.6666666666666667,24614.8734642794,410.24789107132324,5422069.0,2224392372.4931984,70,155,3.1,0.5,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LBY,Libya,Northern Africa,0.0,6026.51518708812,301.325759354406,7381023.0,2224092360.287336,71,1,16.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KHM,Cambodia,South-eastern Asia,0.0,2429.74853452838,121.487426726419,17638801.0,2142892544.0293863,72,1,5.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SDN,Sudan,Northern Africa,0.0,797.283447265625,39.864172363281256,50448963.0,2011106156.5807986,73,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
JOR,Jordan,Western Asia,0.2222222222222222,4466.08314208575,173.6810110811125,11552876.0,2006515184.5747187,74,76,14.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CZE,Czechia,Eastern Europe,0.8888888888888888,31761.5944102491,176.45330227916176,10905028.0,1924228202.046723,75,172,2.5,0.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TZA,Tanzania,Eastern Africa,0.5555555555555556,1224.00219726563,27.200048828125112,68560157.0,1864839618.0639236,76,131,20.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GHA,Ghana,Western Africa,0.5555555555555556,2383.90410483418,52.975646774092894,34427414.0,1823814523.4094605,77,131,6.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SRB,Serbia,Southern Europe,0.5555555555555556,12281.707946167,272.9268432481556,6586476.0,1797626102.8097389,78,131,2.5,1.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SLV,El Salvador,Central America,0.0,5365.44491399171,268.2722456995855,6338193.0,1700361269.7873929,79,1,6.7,4.6,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TUN,Tunisia,Northern Africa,0.3333333333333333,3951.11683376921,131.7038944589737,12277109.0,1616943067.9973161,80,90,3.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
HND,Honduras,Central America,0.1111111111111111,3227.45762509776,143.442561115456,10825703.0,1552866564.1952753,81,58,14.8,15.7,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PRY,Paraguay,South America,0.3333333333333333,6299.99026533713,209.9996755112377,6929153.0,1455119881.5677192,82,90,5.2,2.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NZL,New Zealand,Australia and New Zealand,0.8888888888888888,49075.9562832927,272.6442015738485,5287500.0,1441606215.821724,83,172,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ZWE,Zimbabwe,Eastern Africa,0.2222222222222222,2195.22492079245,85.36985803081751,16634373.0,1420074061.441664,84,76,19.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PAN,Panama,Central America,0.6666666666666666,18797.1933994045,313.2865566567417,4515577.0,1414669569.6483798,85,146,5.7,3.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NPL,Nepal,Southern Asia,0.3333333333333333,1382.33055769304,46.07768525643468,29651054.0,1366251933.7335484,86,90,5.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GIN,Guinea,Western Africa,0.0,1555.49375806861,77.7746879034305,14754785.0,1147548798.457218,87,1,11.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SEN,Senegal,Western Africa,0.3333333333333333,1698.03387300843,56.60112910028101,18501984.0,1047233184.9953336,88,90,5.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
PNG,Papua New Guinea,Melanesia,0.3333333333333333,2966.06830432055,98.86894347735168,10576502.0,1045687578.426097,89,90,28.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TCD,Chad,Middle Africa,0.0,949.333453674592,47.4666726837296,20299123.0,963531827.2077672,90,1,32.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MOZ,Mozambique,Eastern Africa,0.1111111111111111,622.000297682823,27.644457674792132,34631766.0,957376389.3903053,91,58,21.8,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
HRV,Croatia,Southern Europe,0.7777777777777777,22184.2279304842,246.49142144982457,3866200.0,952985133.6093117,92,161,2.5,0.3,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ZMB,Zambia,Eastern Africa,0.3333333333333333,1330.72780576709,44.357593525569676,21314956.0,945480154.2634026,93,90,37.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NIC,Nicaragua,Central America,0.0,2609.44492072931,130.47224603646552,6916140.0,902364319.7026407,94,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
HTI,Haiti,Caribbean,0.1111111111111111,1705.75808460999,75.81147042711066,11772557.0,892494856.8569746,95,58,54.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
AFG,Afghanistan,Southern Asia,0.0,413.757894705303,20.68789473526515,42647492.0,882286825.2190626,96,1,28.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MLI,Mali,Western Africa,0.3333333333333333,1043.9533853528,34.79844617842667,24478595.0,851817070.6310042,97,90,12.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TTO,Trinidad and Tobago,Caribbean,0.3333333333333333,18308.4536298575,610.2817876619168,1368333.0,835068709.3567936,98,90,11.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LAO,Laos,South-eastern Asia,0.0,2066.94979776957,103.3474898884785,7769819.0,802991290.5378082,99,1,,7.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
COG,Congo Republic,Middle Africa,0.0,2477.97845544866,123.89892277243301,6332961.0,784647045.8598301,100,1,26.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
KGZ,Kyrgyzstan,Central Asia,0.0,2138.22210211478,106.911105105739,7221868.0,772097888.8077731,101,1,5.1,2.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SVN,Slovenia,Southern Europe,0.7777777777777777,32660.4753581346,362.8941706459402,2127400.0,772021058.6321732,102,161,2.5,0.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BHS,Bahamas,Caribbean,0.0,38231.774484278,1911.5887242139002,401283.0,767088058.0187265,103,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BRN,Brunei Darussalam,South-eastern Asia,0.0,32890.5491812019,1644.5274590600952,462721.0,760957390.3837463,104,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
RWA,Rwanda,Eastern Africa,0.0,1027.03446826565,51.35172341328251,14256567.0,732099285.4069308,105,1,24.4,38.6,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
