iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
POL,Poland,Eastern Europe,0.7277333333333331,25103.565661423,341.74320720417205,36559233.0,12493869538.344604,25,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BGD,Bangladesh,Southern Asia,0.4722222222222221,2593.41611680774,68.43736974909315,173562364.0,11878151679.594694,26,1,10.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MYS,Malaysia,South-eastern Asia,0.4722222222222221,11874.4273684245,313.3529444445355,35557673.0,11142101532.14596,27,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZAF,South Africa,Southern Africa,0.4722222222222221,6267.186814093,165.38409648300976,64007187.0,10585770790.414047,28,1,10.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
EGY,Egypt,Northern Africa,0.4722222222222221,3338.47371395895,88.09861189613899,116538258.0,10266858762.594114,29,1,9.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IRN,Iran,Southern Asia,0.6011222222222221,5190.16959024821,103.5121656224003,91567738.0,9478374861.524557,30,146,6.8,2.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BEL,Belgium,Western Europe,0.7280333333333332,56614.5679499036,769.8637665054395,11858610.0,9129514160.11907,31,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PAK,Pakistan,Southern Asia,0.5202222222222221,1478.77277977996,35.47411590605483,251269164.0,8913551447.353498,32,135,16.5,23.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ARG,Argentina,South America,0.7235333333333331,13969.7836603737,193.10897613189925,45696159.0,8824338477.650473,33,157,3.4,1.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IRL,Ireland,Northern Europe,0.7280333333333332,112894.953240805,1535.1832058195475,5395790.0,8283526190.129056,34,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SWE,Sweden,Northern Europe,0.7259333333333332,57117.4877440616,782.6999737194578,10569709.0,8272910956.522317,35,167,2.5,0.8,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KAZ,Kazakhstan,Central Asia,0.4722222222222221,14154.6324958076,373.5250241949229,20592571.0,7691840581.010667,36,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AUT,Austria,Western Europe,0.7268333333333332,58268.8787651601,795.8557691341455,9177982.0,7304349923.709343,37,172,2.5,0.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
THA,Thailand,South-eastern Asia,0.7241333333333332,7346.62022142185,101.33438158747877,71668011.0,7262433574.289626,38,159,4.6,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DZA,Algeria,Northern Africa,0.4722222222222221,5752.99076651465,151.81503411635887,46814308.0,7107115766.153732,39,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NZL,New Zealand,Australia and New Zealand,0.4722222222222221,49205.1792146792,1298.4700070540348,5287500.0,6865660162.298209,40,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PHL,Philippines,South-eastern Asia,0.7114333333333331,3984.8315387656,57.494477718489705,115843670.0,6660371303.643074,41,151,3.0,5.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NGA,Nigeria,Western Africa,0.4722222222222221,1084.16041805436,28.60978880976784,232679478.0,6656910725.947022,42,1,19.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NOR,Norway,Northern Europe,0.7277333333333331,86785.4334489176,1181.4390340179325,5572279.0,6583307919.038411,43,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
