iso3,country,UNregion,r,g0,g0_year,vdem_year,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
TLS,Timor-Leste,South-eastern Asia,0.6666666666666666,1331.9705130185,2026,2024,22.199508550308337,1400638.0,31093475.25688677,166,148,18.7,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
TON,Tonga,Polynesia,0.0,5651.59373063157,2026,2024,282.5796865315785,104175.0,29437738.84442719,167,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
VUT,Vanuatu,Melanesia,0.5555555555555556,3410.77023167097,2026,2024,75.79489403713268,327777.0,24843822.982809238,168,134,7.2,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
FSM,"Micronesia, Fed. Sts.",Micronesia,0.0,4166.00476748564,2026,2024,208.300238374282,113160.0,23571254.97443375,169,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
STP,Sao Tome and Principe,Middle Africa,0.4444444444444444,3490.56883486557,2026,2024,96.96024541293251,235536.0,22837628.363580473,170,120,17.4,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
MHL,Marshall Islands,Micronesia,0.0,7726.33668877794,2026,2024,386.31683443889705,37548.0,14505424.499511706,171,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
PLW,Palau,Micronesia,0.0,15610.8231931032,2026,2024,780.5411596551601,17695.0,13811675.820098057,172,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
KIR,Kiribati,Micronesia,0.1111111111111111,2288.63471423684,2026,2024,101.71709841052622,134518.0,13682780.643987166,173,59,4.1,0.9,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SYC,Seychelles,Eastern Africa,0.8888888888888888,17858.8226383978,2026,2024,99.21568132443227,121354.0,12040219.791445153,174,174,2.5,,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
NRU,Nauru,Polynesia,0.0,13609.158837552,2026,2024,680.4579418776001,11947.0,8129431.031611688,175,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
TUV,Tuvalu,Polynesia,0.0,6344.7750188689,2026,2024,317.238750943445,9646.0,3060084.99160047,176,1,,,True,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
NOR,Norway,Northern Europe,1.0,86785.4334489176,2026,2024,0.0,5572279.0,0.0,177,183,2.5,0.2,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
LUX,Luxembourg,Western Europe,1.0,137781.681659123,2026,2024,0.0,677012.0,0.0,177,183,2.5,0.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
IRL,Ireland,Northern Europe,1.0,112894.953240805,2026,2024,0.0,5395790.0,0.0,177,183,2.5,0.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
LVA,Latvia,Northern Europe,1.0,23409.0845154775,2026,2024,0.0,1866124.0,0.0,177,183,2.5,0.4,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
DNK,Denmark,Northern Europe,1.0,71026.4832271897,2026,2024,0.0,5976992.0,0.0,177,183,2.5,0.4,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
