iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,total_deficit_usd,population,ind1_name,ind1_raw,ind1_yes,ind2_name,ind2_raw,ind2_yes,ind3_name,ind3_raw,ind3_yes,ind4_name,ind4_raw,ind4_yes,ind5_name,ind5_raw,ind5_yes,ind6_name,ind6_raw,ind6_yes,ind7_name,ind7_raw,ind7_yes,ind8_name,ind8_raw,ind8_yes,ind9_name,ind9_raw,ind9_yes
UZB,Uzbekistan,Central Asia,0.1111111111111111,3161.70010632875,2026,2024,140.52000472572223,5109568598.516046,36361859.0,Existence of Legal Protections,-0.018,No,Independent Judiciary,-1.6875,No,Law Enforcement Accountability,0.438,No,Protection Against Arbitrary Detention,0.44,No,Freedom from Torture and Inhumane Treatment,-0.307,No,Civilian Protection in Conflict Zones,0.438,No,Access to Justice,0.44,No,Freedom of Expression and Whistleblower Protections,0.266,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=2.7% (thresh <=5% and <=10%)",Yes
GTM,Guatemala,Central America,0.1111111111111111,6150.02571438505,2026,2024,273.3344761948911,5031092495.92012,18406359.0,Existence of Legal Protections,0.47,No,Independent Judiciary,1.797,No,Law Enforcement Accountability,0.588,No,Protection Against Arbitrary Detention,0.276,No,Freedom from Torture and Inhumane Treatment,0.985,No,Civilian Protection in Conflict Zones,0.588,No,Access to Justice,0.276,No,Freedom of Expression and Whistleblower Protections,0.749,Yes,Socioeconomic Conditions,"undernourish=11.8%, poverty=9.7% (thresh <=5% and <=10%)",No
MAR,Morocco,Northern Africa,0.4444444444444444,4153.1943359375,2026,2024,115.36650933159724,4393292000.262669,38081173.0,Existence of Legal Protections,-0.265,No,Independent Judiciary,2.176,Yes,Law Enforcement Accountability,1.729,No,Protection Against Arbitrary Detention,0.85,Yes,Freedom from Torture and Inhumane Treatment,0.337,No,Civilian Protection in Conflict Zones,1.729,No,Access to Justice,0.85,Yes,Freedom of Expression and Whistleblower Protections,0.583,Yes,Socioeconomic Conditions,"undernourish=7.0%, poverty=100.0% (thresh <=5% and <=10%)",No
GRC,Greece,Southern Europe,0.6666666666666667,24626.1481858973,2026,2024,410.4358030982882,4270639529.635304,10405134.0,Existence of Legal Protections,1.658,No,Independent Judiciary,0.982,No,Law Enforcement Accountability,2.732,Yes,Protection Against Arbitrary Detention,0.904,Yes,Freedom from Torture and Inhumane Treatment,1.372,No,Civilian Protection in Conflict Zones,2.732,Yes,Access to Justice,0.904,Yes,Freedom of Expression and Whistleblower Protections,0.842,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.6% (thresh <=5% and <=10%)",Yes
OMN,Oman,Western Asia,0.2222222222222222,20285.2272897377,2026,2024,788.8699501564662,4166446618.809482,5281538.0,Existence of Legal Protections,-0.4,No,Independent Judiciary,-0.0040000000000000036,No,Law Enforcement Accountability,1.264,No,Protection Against Arbitrary Detention,0.708,Yes,Freedom from Torture and Inhumane Treatment,0.497,No,Civilian Protection in Conflict Zones,1.264,No,Access to Justice,0.708,Yes,Freedom of Expression and Whistleblower Protections,0.23,No,Socioeconomic Conditions,"undernourish=5.9%, poverty=100.0% (thresh <=5% and <=10%)",No
ECU,Ecuador,South America,0.3333333333333333,6874.705739766,2026,2024,229.1568579922001,4155869156.666669,18135478.0,Existence of Legal Protections,0.391,No,Independent Judiciary,0.7905,No,Law Enforcement Accountability,1.069,No,Protection Against Arbitrary Detention,0.542,Yes,Freedom from Torture and Inhumane Treatment,0.311,No,Civilian Protection in Conflict Zones,1.069,No,Access to Justice,0.542,Yes,Freedom of Expression and Whistleblower Protections,0.773,Yes,Socioeconomic Conditions,"undernourish=12.1%, poverty=7.3% (thresh <=5% and <=10%)",No
KEN,Kenya,Eastern Africa,0.3333333333333333,2132.43452097647,2026,2024,71.08115069921568,4011318596.8644,56432944.0,Existence of Legal Protections,0.651,No,Independent Judiciary,1.8639999999999999,No,Law Enforcement Accountability,0.303,No,Protection Against Arbitrary Detention,0.583,Yes,Freedom from Torture and Inhumane Treatment,0.587,No,Civilian Protection in Conflict Zones,0.303,No,Access to Justice,0.583,Yes,Freedom of Expression and Whistleblower Protections,0.866,Yes,Socioeconomic Conditions,"undernourish=36.8%, poverty=100.0% (thresh <=5% and <=10%)",No
BLR,Belarus,Eastern Europe,0.0,8317.63399913792,2026,2024,415.881699956896,3798093273.5956473,9132629.0,Existence of Legal Protections,-1.702,No,Independent Judiciary,-3.234,No,Law Enforcement Accountability,-0.911,No,Protection Against Arbitrary Detention,0.088,No,Freedom from Torture and Inhumane Treatment,-2.206,No,Civilian Protection in Conflict Zones,-0.911,No,Access to Justice,0.088,No,Freedom of Expression and Whistleblower Protections,0.029,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
AZE,Azerbaijan,Western Asia,0.0,7283.8499076179,2026,2024,364.192495380895,3715794117.647057,10202830.0,Existence of Legal Protections,-1.257,No,Independent Judiciary,-2.7154999999999996,No,Law Enforcement Accountability,0.916,No,Protection Against Arbitrary Detention,0.307,No,Freedom from Torture and Inhumane Treatment,-1.689,No,Civilian Protection in Conflict Zones,0.916,No,Access to Justice,0.307,No,Freedom of Expression and Whistleblower Protections,0.189,No,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
HUN,Hungary,Eastern Europe,0.6666666666666666,23292.3263882478,2026,2024,388.2054398041301,3712045648.760679,9562065.0,Existence of Legal Protections,-0.41,No,Independent Judiciary,-0.16299999999999998,No,Law Enforcement Accountability,3.092,Yes,Protection Against Arbitrary Detention,0.822,Yes,Freedom from Torture and Inhumane Treatment,2.194,Yes,Civilian Protection in Conflict Zones,3.092,Yes,Access to Justice,0.822,Yes,Freedom of Expression and Whistleblower Protections,0.598,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
