iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,total_deficit_usd,population,ind1_name,ind1_raw,ind1_yes,ind2_name,ind2_raw,ind2_yes,ind3_name,ind3_raw,ind3_yes,ind4_name,ind4_raw,ind4_yes,ind5_name,ind5_raw,ind5_yes,ind6_name,ind6_raw,ind6_yes,ind7_name,ind7_raw,ind7_yes,ind8_name,ind8_raw,ind8_yes,ind9_name,ind9_raw,ind9_yes
JOR,Jordan,Western Asia,0.3333333333333333,4618.09592498567,2026,2024,153.93653083285568,1778409652.5821583,11552876.0,Existence of Legal Protections,0.977,No,Independent Judiciary,0.36800000000000005,No,Law Enforcement Accountability,1.394,No,Protection Against Arbitrary Detention,0.834,Yes,Freedom from Torture and Inhumane Treatment,0.86,No,Civilian Protection in Conflict Zones,1.394,No,Access to Justice,0.834,Yes,Freedom of Expression and Whistleblower Protections,0.509,Yes,Socioeconomic Conditions,"undernourish=14.3%, poverty=100.0% (thresh <=5% and <=10%)",No
SLV,El Salvador,Central America,0.0,5579.65969165029,2026,2024,278.9829845825145,1768248000.0000014,6338193.0,Existence of Legal Protections,-1.986,No,Independent Judiciary,-2.7755,No,Law Enforcement Accountability,0.324,No,Protection Against Arbitrary Detention,0.106,No,Freedom from Torture and Inhumane Treatment,-1.307,No,Civilian Protection in Conflict Zones,0.324,No,Access to Justice,0.106,No,Freedom of Expression and Whistleblower Protections,0.325,No,Socioeconomic Conditions,"undernourish=6.7%, poverty=4.6% (thresh <=5% and <=10%)",No
PRT,Portugal,Southern Europe,0.8888888888888888,29292.242104753,2026,2024,162.73467835973898,1740395472.6950116,10694681.0,Existence of Legal Protections,1.418,No,Independent Judiciary,2.074,Yes,Law Enforcement Accountability,2.559,Yes,Protection Against Arbitrary Detention,0.813,Yes,Freedom from Torture and Inhumane Treatment,2.225,Yes,Civilian Protection in Conflict Zones,2.559,Yes,Access to Justice,0.813,Yes,Freedom of Expression and Whistleblower Protections,0.9,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.4% (thresh <=5% and <=10%)",Yes
HND,Honduras,Central America,0.1111111111111111,3426.43483328923,2026,2024,152.28599259063245,1648602926.8463874,10825703.0,Existence of Legal Protections,0.703,No,Independent Judiciary,1.0015,No,Law Enforcement Accountability,0.497,No,Protection Against Arbitrary Detention,0.486,No,Freedom from Torture and Inhumane Treatment,1.303,No,Civilian Protection in Conflict Zones,0.497,No,Access to Justice,0.486,No,Freedom of Expression and Whistleblower Protections,0.837,Yes,Socioeconomic Conditions,"undernourish=14.8%, poverty=15.7% (thresh <=5% and <=10%)",No
ZWE,Zimbabwe,Eastern Africa,0.2222222222222222,2497.20332208763,2026,2024,97.11346252563006,1615421558.9728525,16634373.0,Existence of Legal Protections,-1.59,No,Independent Judiciary,-0.718,No,Law Enforcement Accountability,-1.768,No,Protection Against Arbitrary Detention,0.66,Yes,Freedom from Torture and Inhumane Treatment,-1.829,No,Civilian Protection in Conflict Zones,-1.768,No,Access to Justice,0.66,Yes,Freedom of Expression and Whistleblower Protections,0.286,No,Socioeconomic Conditions,"undernourish=19.7%, poverty=100.0% (thresh <=5% and <=10%)",No
PRY,Paraguay,South America,0.3333333333333333,6416.09708970845,2026,2024,213.8699029902817,1481937279.9148197,6929153.0,Existence of Legal Protections,-0.278,No,Independent Judiciary,1.093,No,Law Enforcement Accountability,1.359,No,Protection Against Arbitrary Detention,0.598,Yes,Freedom from Torture and Inhumane Treatment,1.685,No,Civilian Protection in Conflict Zones,1.359,No,Access to Justice,0.598,Yes,Freedom of Expression and Whistleblower Protections,0.776,Yes,Socioeconomic Conditions,"undernourish=5.2%, poverty=2.1% (thresh <=5% and <=10%)",No
NZL,New Zealand,Australia and New Zealand,0.8888888888888888,49205.1792146792,2026,2024,273.3621067482179,1445402139.4312022,5287500.0,Existence of Legal Protections,2.397,Yes,Independent Judiciary,3.1865,Yes,Law Enforcement Accountability,3.234,Yes,Protection Against Arbitrary Detention,0.952,Yes,Freedom from Torture and Inhumane Treatment,3.394,Yes,Civilian Protection in Conflict Zones,3.234,Yes,Access to Justice,0.952,Yes,Freedom of Expression and Whistleblower Protections,0.961,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
PAN,Panama,Central America,0.6666666666666666,19161.2188501596,2026,2024,319.35364750266007,1442065985.5291193,4515577.0,Existence of Legal Protections,0.424,No,Independent Judiciary,0.938,No,Law Enforcement Accountability,2.511,Yes,Protection Against Arbitrary Detention,0.766,Yes,Freedom from Torture and Inhumane Treatment,2.082,Yes,Civilian Protection in Conflict Zones,2.511,Yes,Access to Justice,0.766,Yes,Freedom of Expression and Whistleblower Protections,0.847,Yes,Socioeconomic Conditions,"undernourish=5.7%, poverty=3.1% (thresh <=5% and <=10%)",No
NPL,Nepal,Southern Asia,0.3333333333333333,1447.31004458428,2026,2024,48.24366815280934,1430475609.55703,29651054.0,Existence of Legal Protections,0.93,No,Independent Judiciary,1.2435,No,Law Enforcement Accountability,1.035,No,Protection Against Arbitrary Detention,0.797,Yes,Freedom from Torture and Inhumane Treatment,1.287,No,Civilian Protection in Conflict Zones,1.035,No,Access to Justice,0.797,Yes,Freedom of Expression and Whistleblower Protections,0.825,Yes,Socioeconomic Conditions,"undernourish=5.3%, poverty=100.0% (thresh <=5% and <=10%)",No
GIN,Guinea,Western Africa,0.0,1694.95375862193,2026,2024,84.74768793109651,1250433914.6704235,14754785.0,Existence of Legal Protections,-1.232,No,Independent Judiciary,-0.08250000000000002,No,Law Enforcement Accountability,-1.172,No,Protection Against Arbitrary Detention,0.305,No,Freedom from Torture and Inhumane Treatment,-1.313,No,Civilian Protection in Conflict Zones,-1.172,No,Access to Justice,0.305,No,Freedom of Expression and Whistleblower Protections,0.419,No,Socioeconomic Conditions,"undernourish=11.4%, poverty=100.0% (thresh <=5% and <=10%)",No
TUN,Tunisia,Northern Africa,0.5555555555555556,4181.13789301228,2026,2024,92.9141754002729,1140717459.0342689,12277109.0,Existence of Legal Protections,-0.317,No,Independent Judiciary,0.27,No,Law Enforcement Accountability,2.4,Yes,Protection Against Arbitrary Detention,0.925,Yes,Freedom from Torture and Inhumane Treatment,0.609,No,Civilian Protection in Conflict Zones,2.4,Yes,Access to Justice,0.925,Yes,Freedom of Expression and Whistleblower Protections,0.696,Yes,Socioeconomic Conditions,"undernourish=3.0%, poverty=100.0% (thresh <=5% and <=10%)",No
MOZ,Mozambique,Eastern Africa,0.0,656.776824637306,2026,2024,32.8388412318653,1137267065.253111,34631766.0,Existence of Legal Protections,-0.614,No,Independent Judiciary,-0.435,No,Law Enforcement Accountability,-0.548,No,Protection Against Arbitrary Detention,0.41,No,Freedom from Torture and Inhumane Treatment,-0.752,No,Civilian Protection in Conflict Zones,-0.548,No,Access to Justice,0.41,No,Freedom of Expression and Whistleblower Protections,0.455,No,Socioeconomic Conditions,"undernourish=21.8%, poverty=100.0% (thresh <=5% and <=10%)",No
HTI,Haiti,Caribbean,0.1111111111111111,2142.62330526788,2026,2024,95.22770245635022,1121073555.1464229,11772557.0,Existence of Legal Protections,-1.452,No,Independent Judiciary,0.3695,No,Law Enforcement Accountability,0.206,No,Protection Against Arbitrary Detention,0.12,No,Freedom from Torture and Inhumane Treatment,1.059,No,Civilian Protection in Conflict Zones,0.206,No,Access to Justice,0.12,No,Freedom of Expression and Whistleblower Protections,0.686,Yes,Socioeconomic Conditions,"undernourish=54.2%, poverty=100.0% (thresh <=5% and <=10%)",No
PNG,Papua New Guinea,Melanesia,0.3333333333333333,3006.70564478923,2026,2024,100.22352149297436,1060014275.5174862,10576502.0,Existence of Legal Protections,0.157,No,Independent Judiciary,1.581,No,Law Enforcement Accountability,0.975,No,Protection Against Arbitrary Detention,0.676,Yes,Freedom from Torture and Inhumane Treatment,0.992,No,Civilian Protection in Conflict Zones,0.975,No,Access to Justice,0.676,Yes,Freedom of Expression and Whistleblower Protections,0.792,Yes,Socioeconomic Conditions,"undernourish=28.7%, poverty=100.0% (thresh <=5% and <=10%)",No
HRV,Croatia,Southern Europe,0.7777777777777777,24050.4397933135,2026,2024,267.2271088145946,1033153448.0989856,3866200.0,Existence of Legal Protections,0.637,No,Independent Judiciary,0.678,No,Law Enforcement Accountability,2.835,Yes,Protection Against Arbitrary Detention,0.82,Yes,Freedom from Torture and Inhumane Treatment,2.466,Yes,Civilian Protection in Conflict Zones,2.835,Yes,Access to Justice,0.82,Yes,Freedom of Expression and Whistleblower Protections,0.8,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.3% (thresh <=5% and <=10%)",Yes
NIC,Nicaragua,Central America,0.0,2847.53966339498,2026,2024,142.376983169749,984699148.3796278,6916140.0,Existence of Legal Protections,-3.284,No,Independent Judiciary,-3.277,No,Law Enforcement Accountability,-2.093,No,Protection Against Arbitrary Detention,0.009,No,Freedom from Torture and Inhumane Treatment,-2.945,No,Civilian Protection in Conflict Zones,-2.093,No,Access to Justice,0.009,No,Freedom of Expression and Whistleblower Protections,0.016,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
TCD,Chad,Middle Africa,0.0,961.55975562506,2026,2024,48.077987781253,975940987.5641518,20299123.0,Existence of Legal Protections,-0.809,No,Independent Judiciary,-2.666,No,Law Enforcement Accountability,-2.621,No,Protection Against Arbitrary Detention,0.184,No,Freedom from Torture and Inhumane Treatment,-1.513,No,Civilian Protection in Conflict Zones,-2.621,No,Access to Justice,0.184,No,Freedom of Expression and Whistleblower Protections,0.319,No,Socioeconomic Conditions,"undernourish=32.0%, poverty=100.0% (thresh <=5% and <=10%)",No
GEO,Georgia,Western Asia,0.4444444444444444,9241.49122313713,2026,2024,256.708089531587,949706209.5832094,3699557.0,Existence of Legal Protections,-0.133,No,Independent Judiciary,-0.7769999999999999,No,Law Enforcement Accountability,1.389,No,Protection Against Arbitrary Detention,0.644,Yes,Freedom from Torture and Inhumane Treatment,0.771,No,Civilian Protection in Conflict Zones,1.389,No,Access to Justice,0.644,Yes,Freedom of Expression and Whistleblower Protections,0.696,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=4.2% (thresh <=5% and <=10%)",Yes
LTU,Lithuania,Northern Europe,0.7777777777777777,29384.0189598663,2026,2024,326.4890995540701,942991283.4818306,2888278.0,Existence of Legal Protections,1.251,No,Independent Judiciary,1.907,No,Law Enforcement Accountability,2.892,Yes,Protection Against Arbitrary Detention,0.949,Yes,Freedom from Torture and Inhumane Treatment,2.115,Yes,Civilian Protection in Conflict Zones,2.892,Yes,Access to Justice,0.949,Yes,Freedom of Expression and Whistleblower Protections,0.908,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=1.1% (thresh <=5% and <=10%)",Yes
SEN,Senegal,Western Africa,0.4444444444444444,1773.21829923448,2026,2024,49.25606386762445,911334905.5817657,18501984.0,Existence of Legal Protections,2.382,Yes,Independent Judiciary,0.5165,No,Law Enforcement Accountability,1.586,No,Protection Against Arbitrary Detention,0.665,Yes,Freedom from Torture and Inhumane Treatment,0.763,No,Civilian Protection in Conflict Zones,1.586,No,Access to Justice,0.665,Yes,Freedom of Expression and Whistleblower Protections,0.855,Yes,Socioeconomic Conditions,"undernourish=5.1%, poverty=100.0% (thresh <=5% and <=10%)",No
BFA,Burkina Faso,Western Africa,0.2222222222222222,981.992649769081,2026,2024,38.18860304657537,899295049.8397362,23548781.0,Existence of Legal Protections,0.581,No,Independent Judiciary,0.4955,No,Law Enforcement Accountability,0.177,No,Protection Against Arbitrary Detention,0.563,Yes,Freedom from Torture and Inhumane Treatment,-0.63,No,Civilian Protection in Conflict Zones,0.177,No,Access to Justice,0.563,Yes,Freedom of Expression and Whistleblower Protections,0.376,No,Socioeconomic Conditions,"undernourish=13.1%, poverty=100.0% (thresh <=5% and <=10%)",No
MLI,Mali,Western Africa,0.3333333333333333,1094.61949265799,2026,2024,36.487316421933,893158241.3293471,24478595.0,Existence of Legal Protections,0.441,No,Independent Judiciary,0.5619999999999999,No,Law Enforcement Accountability,0.687,No,Protection Against Arbitrary Detention,0.602,Yes,Freedom from Torture and Inhumane Treatment,0.377,No,Civilian Protection in Conflict Zones,0.687,No,Access to Justice,0.602,Yes,Freedom of Expression and Whistleblower Protections,0.591,Yes,Socioeconomic Conditions,"undernourish=12.3%, poverty=100.0% (thresh <=5% and <=10%)",No
AFG,Afghanistan,Southern Asia,0.0,413.757894705303,2026,2024,20.68789473526515,882286825.2190626,42647492.0,Existence of Legal Protections,-2.782,No,Independent Judiciary,-2.316,No,Law Enforcement Accountability,-2.032,No,Protection Against Arbitrary Detention,0.048,No,Freedom from Torture and Inhumane Treatment,-3.097,No,Civilian Protection in Conflict Zones,-2.032,No,Access to Justice,0.048,No,Freedom of Expression and Whistleblower Protections,0.053,No,Socioeconomic Conditions,"undernourish=28.1%, poverty=100.0% (thresh <=5% and <=10%)",No
TTO,Trinidad and Tobago,Caribbean,0.3333333333333333,18733.4110406494,2026,2024,624.4470346883135,854451484.316164,1368333.0,Existence of Legal Protections,1.521,No,Independent Judiciary,1.6635,No,Law Enforcement Accountability,1.899,No,Protection Against Arbitrary Detention,0.831,Yes,Freedom from Torture and Inhumane Treatment,1.743,No,Civilian Protection in Conflict Zones,1.899,No,Access to Justice,0.831,Yes,Freedom of Expression and Whistleblower Protections,0.938,Yes,Socioeconomic Conditions,"undernourish=11.2%, poverty=100.0% (thresh <=5% and <=10%)",No
ZMB,Zambia,Eastern Africa,0.3333333333333333,1187.10943350064,2026,2024,39.57031445002134,843439511.4083691,21314956.0,Existence of Legal Protections,-0.31,No,Independent Judiciary,0.7689999999999999,No,Law Enforcement Accountability,1.952,No,Protection Against Arbitrary Detention,0.524,Yes,Freedom from Torture and Inhumane Treatment,1.374,No,Civilian Protection in Conflict Zones,1.952,No,Access to Justice,0.524,Yes,Freedom of Expression and Whistleblower Protections,0.802,Yes,Socioeconomic Conditions,"undernourish=37.2%, poverty=100.0% (thresh <=5% and <=10%)",No
LAO,Laos,South-eastern Asia,0.0,2123.97909415109,2026,2024,106.1989547075545,825146656.0668964,7769819.0,Existence of Legal Protections,-0.825,No,Independent Judiciary,1.1145,No,Law Enforcement Accountability,-1.669,No,Protection Against Arbitrary Detention,0.327,No,Freedom from Torture and Inhumane Treatment,-1.173,No,Civilian Protection in Conflict Zones,-1.669,No,Access to Justice,0.327,No,Freedom of Expression and Whistleblower Protections,0.057,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=7.1% (thresh <=5% and <=10%)",No
SVN,Slovenia,Southern Europe,0.7777777777777777,34301.0318686594,2026,2024,381.122576318438,810800168.8598449,2127400.0,Existence of Legal Protections,1.362,No,Independent Judiciary,0.851,No,Law Enforcement Accountability,2.934,Yes,Protection Against Arbitrary Detention,0.956,Yes,Freedom from Torture and Inhumane Treatment,2.371,Yes,Civilian Protection in Conflict Zones,2.934,Yes,Access to Justice,0.956,Yes,Freedom of Expression and Whistleblower Protections,0.731,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.0% (thresh <=5% and <=10%)",Yes
BHS,Bahamas,Caribbean,0.0,39455.4466548546,2026,2024,1972.77233274273,791640000.000001,401283.0,Existence of Legal Protections,,No,Independent Judiciary,,No,Law Enforcement Accountability,,No,Protection Against Arbitrary Detention,,No,Freedom from Torture and Inhumane Treatment,,No,Civilian Protection in Conflict Zones,,No,Access to Justice,,No,Freedom of Expression and Whistleblower Protections,,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
COG,Congo Republic,Middle Africa,0.0,2482.2489948456,2026,2024,124.11244974228,785999303.8323194,6332961.0,Existence of Legal Protections,-0.773,No,Independent Judiciary,-0.823,No,Law Enforcement Accountability,-1.568,No,Protection Against Arbitrary Detention,0.344,No,Freedom from Torture and Inhumane Treatment,-0.875,No,Civilian Protection in Conflict Zones,-1.568,No,Access to Justice,0.344,No,Freedom of Expression and Whistleblower Protections,0.311,No,Socioeconomic Conditions,"undernourish=26.4%, poverty=100.0% (thresh <=5% and <=10%)",No
MDG,Madagascar,Eastern Africa,0.1111111111111111,544.987501003384,2026,2024,24.22166671126151,774244510.6721388,31964956.0,Existence of Legal Protections,-0.786,No,Independent Judiciary,-0.83,No,Law Enforcement Accountability,0.724,No,Protection Against Arbitrary Detention,0.407,No,Freedom from Torture and Inhumane Treatment,-0.039,No,Civilian Protection in Conflict Zones,0.724,No,Access to Justice,0.407,No,Freedom of Expression and Whistleblower Protections,0.637,Yes,Socioeconomic Conditions,"undernourish=39.5%, poverty=100.0% (thresh <=5% and <=10%)",No
BRN,Brunei Darussalam,South-eastern Asia,0.0,33153.4738913513,2026,2024,1657.673694567565,767040429.6239983,462721.0,Existence of Legal Protections,,No,Independent Judiciary,,No,Law Enforcement Accountability,,No,Protection Against Arbitrary Detention,,No,Freedom from Torture and Inhumane Treatment,,No,Civilian Protection in Conflict Zones,,No,Access to Justice,,No,Freedom of Expression and Whistleblower Protections,,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
JAM,Jamaica,Caribbean,0.3333333333333333,7753.8006955432,2026,2024,258.4600231847734,733813236.325629,2839175.0,Existence of Legal Protections,1.822,No,Independent Judiciary,1.8755,No,Law Enforcement Accountability,0.974,No,Protection Against Arbitrary Detention,0.851,Yes,Freedom from Torture and Inhumane Treatment,1.662,No,Civilian Protection in Conflict Zones,0.974,No,Access to Justice,0.851,Yes,Freedom of Expression and Whistleblower Protections,0.938,Yes,Socioeconomic Conditions,"undernourish=7.7%, poverty=100.0% (thresh <=5% and <=10%)",No
ARM,Armenia,Western Asia,0.4444444444444444,8556.21406956719,2026,2024,237.67261304353303,720979871.6675576,3033500.0,Existence of Legal Protections,1.107,No,Independent Judiciary,-0.178,No,Law Enforcement Accountability,1.685,No,Protection Against Arbitrary Detention,0.891,Yes,Freedom from Torture and Inhumane Treatment,1.036,No,Civilian Protection in Conflict Zones,1.685,No,Access to Justice,0.891,Yes,Freedom of Expression and Whistleblower Protections,0.706,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.8% (thresh <=5% and <=10%)",Yes
RWA,Rwanda,Eastern Africa,0.0,999.65456165547,2026,2024,49.98272808277351,712582111.754842,14256567.0,Existence of Legal Protections,0.046,No,Independent Judiciary,-0.963,No,Law Enforcement Accountability,-1.41,No,Protection Against Arbitrary Detention,0.375,No,Freedom from Torture and Inhumane Treatment,-1.127,No,Civilian Protection in Conflict Zones,-1.41,No,Access to Justice,0.375,No,Freedom of Expression and Whistleblower Protections,0.167,No,Socioeconomic Conditions,"undernourish=24.4%, poverty=38.6% (thresh <=5% and <=10%)",No
TJK,Tajikistan,Central Asia,0.0,1341.20229027672,2026,2024,67.06011451383601,710228777.4276778,10590927.0,Existence of Legal Protections,-2.237,No,Independent Judiciary,-2.2505,No,Law Enforcement Accountability,-1.151,No,Protection Against Arbitrary Detention,0.064,No,Freedom from Torture and Inhumane Treatment,-1.961,No,Civilian Protection in Conflict Zones,-1.151,No,Access to Justice,0.064,No,Freedom of Expression and Whistleblower Protections,0.082,No,Socioeconomic Conditions,"undernourish=8.4%, poverty=6.1% (thresh <=5% and <=10%)",No
LBN,Lebanon,Western Asia,0.3333333333333333,3477.72489842684,2026,2024,115.92416328089467,673051286.89067,5805962.0,Existence of Legal Protections,-0.075,No,Independent Judiciary,0.8105,No,Law Enforcement Accountability,0.436,No,Protection Against Arbitrary Detention,0.515,Yes,Freedom from Torture and Inhumane Treatment,0.774,No,Civilian Protection in Conflict Zones,0.436,No,Access to Justice,0.515,Yes,Freedom of Expression and Whistleblower Protections,0.667,Yes,Socioeconomic Conditions,"undernourish=8.7%, poverty=100.0% (thresh <=5% and <=10%)",No
NER,Niger,Western Africa,0.3333333333333333,735.270255787226,2026,2024,24.509008526240876,662537616.1928561,27032412.0,Existence of Legal Protections,1.41,No,Independent Judiciary,1.1545,No,Law Enforcement Accountability,1.054,No,Protection Against Arbitrary Detention,0.858,Yes,Freedom from Torture and Inhumane Treatment,0.413,No,Civilian Protection in Conflict Zones,1.054,No,Access to Justice,0.858,Yes,Freedom of Expression and Whistleblower Protections,0.792,Yes,Socioeconomic Conditions,"undernourish=12.9%, poverty=100.0% (thresh <=5% and <=10%)",No
BIH,Bosnia and Herzegovina,Southern Europe,0.5555555555555556,9358.78768951134,2026,2024,207.97305976691868,658079378.2866517,3164253.0,Existence of Legal Protections,1.086,No,Independent Judiciary,0.829,No,Law Enforcement Accountability,2.194,Yes,Protection Against Arbitrary Detention,0.651,Yes,Freedom from Torture and Inhumane Treatment,1.792,No,Civilian Protection in Conflict Zones,2.194,Yes,Access to Justice,0.651,Yes,Freedom of Expression and Whistleblower Protections,0.613,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
BWA,Botswana,Southern Africa,0.3333333333333333,7695.75319445165,2026,2024,256.5251064817217,646735450.4302214,2521139.0,Existence of Legal Protections,1.513,No,Independent Judiciary,1.409,No,Law Enforcement Accountability,1.556,No,Protection Against Arbitrary Detention,0.845,Yes,Freedom from Torture and Inhumane Treatment,1.941,No,Civilian Protection in Conflict Zones,1.556,No,Access to Justice,0.845,Yes,Freedom of Expression and Whistleblower Protections,0.824,Yes,Socioeconomic Conditions,"undernourish=24.0%, poverty=100.0% (thresh <=5% and <=10%)",No
GNQ,Equatorial Guinea,Middle Africa,0.0,6745.40013244916,2026,2024,337.270006622458,638288883.8531078,1892516.0,Existence of Legal Protections,-1.425,No,Independent Judiciary,-2.748,No,Law Enforcement Accountability,-0.746,No,Protection Against Arbitrary Detention,0.258,No,Freedom from Torture and Inhumane Treatment,-2.388,No,Civilian Protection in Conflict Zones,-0.746,No,Access to Justice,0.258,No,Freedom of Expression and Whistleblower Protections,0.121,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
ALB,Albania,Southern Europe,0.5555555555555556,11377.7757431099,2026,2024,252.83946095799777,601031762.1481633,2377128.0,Existence of Legal Protections,0.894,No,Independent Judiciary,0.6795,No,Law Enforcement Accountability,3.181,Yes,Protection Against Arbitrary Detention,0.86,Yes,Freedom from Torture and Inhumane Treatment,1.692,No,Civilian Protection in Conflict Zones,3.181,Yes,Access to Justice,0.86,Yes,Freedom of Expression and Whistleblower Protections,0.709,Yes,Socioeconomic Conditions,"undernourish=5.4%, poverty=100.0% (thresh <=5% and <=10%)",No
CYP,Cyprus,Western Asia,0.7777777777777777,38674.29296875,2026,2024,429.7143663194447,583673288.9131079,1358282.0,Existence of Legal Protections,1.452,No,Independent Judiciary,1.1245,No,Law Enforcement Accountability,3.357,Yes,Protection Against Arbitrary Detention,0.968,Yes,Freedom from Torture and Inhumane Treatment,2.76,Yes,Civilian Protection in Conflict Zones,3.357,Yes,Access to Justice,0.968,Yes,Freedom of Expression and Whistleblower Protections,0.806,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.0% (thresh <=5% and <=10%)",Yes
KGZ,Kyrgyzstan,Central Asia,0.3333333333333333,2420.18542283831,2026,2024,80.67284742794368,582608655.3087487,7221868.0,Existence of Legal Protections,0.372,No,Independent Judiciary,-0.8274999999999999,No,Law Enforcement Accountability,0.653,No,Protection Against Arbitrary Detention,0.543,Yes,Freedom from Torture and Inhumane Treatment,-0.787,No,Civilian Protection in Conflict Zones,0.653,No,Access to Justice,0.543,Yes,Freedom of Expression and Whistleblower Protections,0.513,Yes,Socioeconomic Conditions,"undernourish=5.1%, poverty=2.2% (thresh <=5% and <=10%)",No
MUS,Mauritius,Eastern Africa,0.2222222222222222,11990.7798944837,2026,2024,466.30810700769945,580916847.2399448,1245779.0,Existence of Legal Protections,0.175,No,Independent Judiciary,0.854,No,Law Enforcement Accountability,0.903,No,Protection Against Arbitrary Detention,0.689,Yes,Freedom from Torture and Inhumane Treatment,0.646,No,Civilian Protection in Conflict Zones,0.903,No,Access to Justice,0.689,Yes,Freedom of Expression and Whistleblower Protections,0.492,No,Socioeconomic Conditions,"undernourish=8.7%, poverty=100.0% (thresh <=5% and <=10%)",No
GAB,Gabon,Middle Africa,0.4444444444444444,8230.04311451151,2026,2024,228.6123087364309,580435678.4909786,2538952.0,Existence of Legal Protections,2.162,Yes,Independent Judiciary,-0.4495,No,Law Enforcement Accountability,1.306,No,Protection Against Arbitrary Detention,0.816,Yes,Freedom from Torture and Inhumane Treatment,1.099,No,Civilian Protection in Conflict Zones,1.306,No,Access to Justice,0.816,Yes,Freedom of Expression and Whistleblower Protections,0.793,Yes,Socioeconomic Conditions,"undernourish=25.3%, poverty=100.0% (thresh <=5% and <=10%)",No
MKD,North Macedonia,Southern Europe,0.3333333333333333,9291.85661671864,2026,2024,309.7285538906214,565056074.8473402,1824359.0,Existence of Legal Protections,0.416,No,Independent Judiciary,-0.428,No,Law Enforcement Accountability,1.622,No,Protection Against Arbitrary Detention,0.633,Yes,Freedom from Torture and Inhumane Treatment,1.137,No,Civilian Protection in Conflict Zones,1.622,No,Access to Justice,0.633,Yes,Freedom of Expression and Whistleblower Protections,0.725,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
MCO,Monaco,Western Europe,0.0,288001.433369041,2026,2024,14400.071668452052,556289168.6239712,38631.0,Existence of Legal Protections,,No,Independent Judiciary,,No,Law Enforcement Accountability,,No,Protection Against Arbitrary Detention,,No,Freedom from Torture and Inhumane Treatment,,No,Civilian Protection in Conflict Zones,,No,Access to Justice,,No,Freedom of Expression and Whistleblower Protections,,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
GUY,Guyana,South America,0.5555555555555556,29675.2443873316,2026,2024,659.4498752740355,548060218.4918724,831087.0,Existence of Legal Protections,0.497,No,Independent Judiciary,1.21,No,Law Enforcement Accountability,2.29,Yes,Protection Against Arbitrary Detention,0.735,Yes,Freedom from Torture and Inhumane Treatment,1.443,No,Civilian Protection in Conflict Zones,2.29,Yes,Access to Justice,0.735,Yes,Freedom of Expression and Whistleblower Protections,0.819,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=100.0% (thresh <=5% and <=10%)",No
TGO,Togo,Western Africa,0.0,1119.38160509429,2026,2024,55.969080254714505,532559007.32654864,9515236.0,Existence of Legal Protections,-0.771,No,Independent Judiciary,-0.514,No,Law Enforcement Accountability,0.257,No,Protection Against Arbitrary Detention,0.272,No,Freedom from Torture and Inhumane Treatment,-0.463,No,Civilian Protection in Conflict Zones,0.257,No,Access to Justice,0.272,No,Freedom of Expression and Whistleblower Protections,0.438,No,Socioeconomic Conditions,"undernourish=9.1%, poverty=100.0% (thresh <=5% and <=10%)",No
SOM,Somalia,Eastern Africa,0.1111111111111111,629.538899449007,2026,2024,27.979506642178087,531866666.6666662,19009151.0,Existence of Legal Protections,-0.229,No,Independent Judiciary,-1.49,No,Law Enforcement Accountability,-0.151,No,Protection Against Arbitrary Detention,0.418,No,Freedom from Torture and Inhumane Treatment,-0.147,No,Civilian Protection in Conflict Zones,-0.151,No,Access to Justice,0.418,No,Freedom of Expression and Whistleblower Protections,0.547,Yes,Socioeconomic Conditions,"undernourish=53.2%, poverty=100.0% (thresh <=5% and <=10%)",No
